"station","date","time"
"STTD",2019-04-22,"09:58"
"STTD",2019-05-06,"09:56"
"STTD",2019-05-20,"10:10"
"STTD",2019-06-03,"09:22"
"STTD",2019-06-17,"10:15"
"STTD",2019-07-01,"09:27"
"STTD",2019-07-15,"09:23"
"STTD",2020-01-27,"09:41"
"STTD",2020-02-24,"09:47"
"STTD",2019-02-05,"10:30"
"STTD",2019-02-26,"11:15"
"STTD",2019-03-28,"10:00"
"STTD",2019-04-03,"10:25"
"STTD",2019-04-08,"09:56"
"STTD",2019-04-15,"11:06"
"STTD",2021-04-27,"09:33"
"STTD",2021-05-11,"09:31"
"STTD",2021-05-25,"09:16"
"STTD",2021-06-09,"09:37"
"STTD",2021-06-22,"09:17"
"STTD",2022-01-24,"12:33"
"STTD",2022-02-07,"10:17"
"STTD",2022-02-22,"09:52"
"STTD",2022-03-14,"09:27"
"STTD",2022-03-28,"08:01"
"STTD",2022-04-11,"08:05"
"STTD",2022-04-25,"08:07"
"STTD",2022-05-09,"10:39"
"STTD",2022-05-23,"10:12"
"STTD",2022-06-07,"08:17"
"STTD",2022-06-21,"08:09"
"STTD",2023-01-03,"11:00"
"STTD",2023-01-12,"10:10"
"STTD",2023-01-17,"12:18"
"STTD",2023-01-24,"10:28"
"STTD",2023-01-30,"09:52"
"STTD",2023-02-09,"11:01"
"STTD",2023-02-21,"10:20"
"STTD",2023-03-06,"09:45"
"STTD",2023-03-16,"09:34"
"STTD",2023-03-29,"08:32"
"STTD",2023-04-03,"09:42"
"STTD",2023-04-10,"09:25"
"STTD",2023-05-01,"09:07"
"STTD",2023-05-15,"08:12"
"STTD",2023-05-30,"08:04"
"STTD",2023-06-12,"08:17"
"STTD",2023-06-26,"12:24"
"STTD",2024-01-08,"09:19"
"STTD",2024-01-29,"11:44"
"STTD",2024-02-06,"09:58"
"STTD",2024-02-13,"12:12"
"STTD",2024-02-20,"09:53"
"STTD",2024-03-04,"09:39"
"STTD",2024-03-11,"08:50"
"STTD",2024-03-25,"09:21"
"STTD",2024-04-08,"09:07"
"STTD",2024-04-15,"10:20"
"STTD",2024-05-06,"09:14"
"STTD",2024-05-20,"07:50"
"STTD",2024-06-03,"08:25"
"STTD",2024-06-17,"08:24"
